DOLA Tax Entity Name:,Tax Entity ID:,Certifying County:,2026 Budget Year Total Levy (2025 Tax Year),2026 Budget Year Net Assessed Value (2025 Tax Year)
Bennett Park and Recreation District,01102/1,Adams,4.141,92828980
Bennett Ranch Metropolitan District No. 1,67287/1,Adams,72.631,2364000
Bennett Ranch Metropolitan District No. 2,67288/1,Adams,0,1025440
Bennett Ranch Metropolitan District No. 3,67289/1,Adams,0,1025440
Bennett Ranch Metropolitan District No. 4,67290/1,Adams,0,1025440
Bent Conservation District,06003/1,Otero,0,0
Bent County,06001/1,Bent,30.85,104072780
Bent County-Las Animas Cemetery District,06002/1,Bent,4,80076260
Bent Grass Metropolitan District,65928/1,El Paso,46.491,16925750
Bent-Prowers Cemetery District,64019/1,Bent,4,23610960
Bent-Prowers Cemetery District,64019/1,Prowers,4,7409310
Berkeley Villas Metropolitan District,68135/1,Adams,60,340120
Berkeley Water & Sanitation District,64020/1,Adams,2.546,151070020
Berkeley Water & Sanitation District,64020/1,Jefferson,2.546,9515865
Berkley Shores Metropolitan District,67257/1,Adams,91.744,3043590
Berry Creek Metropolitan District,19006/1,Eagle,9.134,150409760
Berthoud,64237/1,Larimer,9.538,292083963
Berthoud,64237/1,Weld,9.538,25589390
Berthoud 160 Metropolitan District,67238/1,Larimer,16.744,16323
Berthoud Community Library District,66063/1,Larimer,2.357,427502367
Berthoud Fire Protection District,64021/1,Boulder,13.342,8711484
Berthoud Fire Protection District,64021/1,Larimer,13.342,429702536
Berthoud Fire Protection District,64021/1,Weld,13.342,95414060
Berthoud-Heritage Metropolitan District No. 1,66006/1,Larimer,0,532171
Berthoud-Heritage Metropolitan District No. 10,67066/1,Larimer,70.137,6680753
Berthoud-Heritage Metropolitan District No. 11,67067/1,Larimer,69.814,893618
Berthoud-Heritage Metropolitan District No. 12,67068/1,Larimer,69.814,159542
Berthoud-Heritage Metropolitan District No. 13,67069/1,Larimer,70.937,284639
Berthoud-Heritage Metropolitan District No. 14,67070/1,Larimer,69.814,260806
Berthoud-Heritage Metropolitan District No. 15,67071/1,Larimer,69.814,403568
Berthoud-Heritage Metropolitan District No. 16,67072/1,Larimer,69.814,162362
Berthoud-Heritage Metropolitan District No. 17,67073/1,Larimer,82.136,241236
Berthoud-Heritage Metropolitan District No. 2,66007/1,Larimer,79.18,24203143
Berthoud-Heritage Metropolitan District No. 3,66008/1,Larimer,69.814,13497
Berthoud-Heritage Metropolitan District No. 4,66009/1,Larimer,62.801,12875809
Berthoud-Heritage Metropolitan District No. 5,66010/1,Larimer,69.814,56888
Berthoud-Heritage Metropolitan District No. 6,66011/1,Larimer,82.698,2933521
Berthoud-Heritage Metropolitan District No. 7,66012/1,Larimer,21.481,6671991
Berthoud-Heritage Metropolitan District No. 8,66013/1,Larimer,73.259,7087647
Berthoud-Heritage Metropolitan District No. 9,66014/1,Larimer,53.703,321359
Bethune,32001/1,Kit Carson,3.252,1062526
Bethune R-5 School District,32903/1,Kit Carson,41.342,20611136
Beulah Fire Protection and Ambulance District,65866/1,Pueblo,18.52,23495290
Beulah Water Works District,51002/1,Pueblo,0,3043480
Big Sandy 100J School District,64920/1,El Paso,31.366,7757280
Big Sandy 100J School District,64920/1,Elbert,31.366,42819377
Big Sandy Fire Protection District,65415/1,El Paso,8,7182420
Big Sandy Fire Protection District,65415/1,Elbert,8,41658897
Big Sky Metropolitan District No. 1,66563/1,Jefferson,0,3459
Big Sky Metropolitan District No. 2,66564/1,Jefferson,0,136561
Big Sky Metropolitan District No. 3,66565/1,Jefferson,0,3459
Big Sky Metropolitan District No. 4,66566/1,Jefferson,0,3459
Big Sky Metropolitan District No. 5,66567/1,Jefferson,0,3459
Big Sky Metropolitan District No. 6,66568/1,Jefferson,0,3459
Big Sky Metropolitan District No. 7,66569/1,Jefferson,0,3459
Big Thompson Conservation District,62004/1,Weld,0,0
Bighorn Terrace Sanitation Subdistrict of the Eagle River Water and Sanitation District,66877/1,Eagle,0,0
Bijou Creek Metropolitan District,67017/1,Arapahoe,39.545,4345704
Bijou Metropolitan District,67559/1,Morgan,77.267,820380
Black Forest Fire/Rescue Protection District,21002/1,El Paso,15.65,309405940
Black Forest Fire/Rescue Protection District (OPS),21002/2,El Paso,0,229199470
Black Hawk,24001/1,Gilpin,0.036,342683620
Black Hawk Business Improvement District,24007/1,Gilpin,0,0
Black Hawk-Central City Sanitation District,24002/1,Gilpin,0.162,372219763
Blackstone Metropolitan District,65140/1,Arapahoe,55.309,55299803
Blanca,12001/1,Costilla,12.72,5277546
Blanca/Fort Garland Metropolitan District,12002/1,Costilla,8.691,98432541
Blende Sanitation District,51003/1,Pueblo,0,6069700
Block 23 Metropolitan District No. 1,66745/1,Larimer,0,0
Block 23 Metropolitan District No. 2,66746/1,Larimer,0,0
Blue Eagle Metropolitan District No. 1,67507/1,Adams,3,10
Blue Eagle Metropolitan District No. 2,67508/1,Adams,3,10
Blue Eagle Metropolitan District No. 3,67509/1,Adams,3,10
Blue Eagle Metropolitan District No. 4,67510/1,Adams,3,10
Blue Eagle Metropolitan District No. 5,67511/1,Adams,42.925,300
Blue Lake Metropolitan District No. 1,65235/1,Weld,55,2949080
Blue Lake Metropolitan District No. 2,65236/1,Weld,55.656,5045190
Blue Lake Metropolitan District No. 3,65237/1,Weld,56.121,9023100
Blue Lake Metropolitan District No. 4,67145/1,Weld,59.371,80920
Blue Lake Metropolitan District No. 5,67146/1,Weld,0,10
Blue Lake Metropolitan District No. 6,67147/1,Weld,0,10
Blue Mountain Water District,30010/1,Jefferson,22.374,9922255
Blue River,59002/1,Summit,10.46,88971290
Blue Valley Metropolitan District,25001/1,Grand,11,7077330
Bluebird Business Improvement District,66445/1,Denver,10,16902200
Bluestone Water Conservancy District,64023/1,Garfield,0.006,594879690
Bluestone Water Conservancy District,64023/1,Mesa,0.006,38242340
Blvd Plaza Lease/Purchase,03001/9,Arapahoe,0,0
Bobcat Meadows Metropolitan District,21102/1,El Paso,12.498,4854580
Bonanza City,55002/1,Saguache,0.518,945219
Bond Redemption & Interest,16002/5,Denver,1.732,25445395933
Bond Redemption & Interest,19011/6,Eagle,0,5338527000
Bond Redemption & Interest,21019/7,El Paso,0,0
Bond Redemption & Interest,20001/6,Elbert,0,0
Bond Redemption & Interest,24005/6,Gilpin,0,0
Bond Redemption & Interest,39023/6,Mesa,0,0
Bond Redemption & Interest,44010/6,Morgan,0,0
Bond Redemption & Interest,49010/5,Pitkin,1.5,5544208430
Bond Redemption & Interest,51010/13,Pueblo,0,0
Bond Redemption & Interest,61008/6,Washington,0,0
Bone Mesa Domestic Water District,15001/1,Delta,0.03,7446636
Bonvue Water & Sanitation District,30011/1,Jefferson,0,10693386
Bookcliff Conservation District,23002/1,Garfield,0,0
Bookcliff Conservation District,23002/1,Mesa,0,5549680
Boone,51005/1,Pueblo,14.05,2990930
Bostwick Park Water Conservancy District,64024/1,Gunnison,0.814,4885530
Bostwick Park Water Conservancy District,64024/1,Montrose,0.814,418846158
Boulder,07006/1,Boulder,11.648,5022426241
Boulder County,07003/1,Boulder,24.046,11631881772
Boulder County Gunbarrel General Improvement District,07061/1,Boulder,0,223054711
Boulder County Nederland Eco Pass Public Improvement District,66434/1,Boulder,1.85,115997775
Boulder Forest Glen Transit Pass General Improvement Dist.,07077/1,Boulder,1.271,13794269
Boulder Junction Access General Improvement District -- Parking,66236/1,Boulder,5,56559422
Boulder Junction Access General Improvement District -- Travel Demand Management,66237/1,Boulder,5,115934917
Boulder Mountain Fire Protection District,65369/1,Boulder,8.912,97943348
Boulder Mountain Fire Protection Sub-District,65369/2,Boulder,1.803,49825284
Boulder Mountain Fire Protection Sub-District,67801/1,Boulder,0,0
Boulder Public Library District,67674/1,Boulder,3.562,6024865799
Boulder Rural Fire Protection District,07057/1,Boulder,15.747,383366770
Boulder Urban Renewal Authority - 9th and Canyon,07043/1,Boulder,0,0
Boulder Valley Conservation District,64025/1,Boulder,0,718404861
Boulder Valley Conservation District,64025/1,Broomfield,0,454307
Boulder Valley Conservation District,64025/1,Weld,0,393161770
Boulder Valley RE 2 School District,64911/1,Boulder,48.044,9110021407
Boulder Valley RE 2 School District,64911/1,Broomfield,48.044,1046532738
Boulder Valley RE 2 School District,64911/1,Gilpin,48.044,98239500
Boulevard at Lowry Metropolitan District,67358/1,Denver,25,16760850
Bow Mar,64026/1,Arapahoe,14.882,36054388
Bow Mar,64026/1,Jefferson,15.353,12574384
Bow Mar Water & Sanitation District,64027/1,Arapahoe,11.317,32403049
Bow Mar Water & Sanitation District,64027/1,Jefferson,11.317,12400300
Bowles Metropolitan District,64193/1,Denver,40,44264680
Bowles Metropolitan District,64193/1,Jefferson,40,44924345
Box Elder Water & Sanitation District,01004/1,Adams,47.362,1306680
Boxelder Sanitation District,35002/1,Larimer,0,521652260
Boxelder Sanitation District,35002/1,Weld,0,38713870
Boyd Ponds Metropolitan District No. 2,66219/1,Jefferson,26.554,7684535
Bradburn Metropolitan District No. 1,01098/1,Adams,0,0
Bradburn Metropolitan District No. 2,01099/1,Adams,67.11,17761870
Bradburn Metropolitan District No. 3,01100/1,Adams,40.931,22424190
Bradley Heights Metropolitan District No. 1,65561/1,El Paso,0,50
Bradley Heights Metropolitan District No. 2,65562/1,El Paso,53.488,6456260
Bradley Heights Metropolitan District No. 3,65563/1,El Paso,46.985,36300
Bradley Ranch Metropolitan District,65727/1,El Paso,57.64,13973880
Bramming Farm Metropolitan District No. 1,66241/1,Adams,55.054,5994410
Brands East Metropolitan District No. 1,66574/1,Larimer,39,135
Brands East Metropolitan District No. 2,66575/1,Larimer,41.888,1623732
Brands East Metropolitan District No. 3,66576/1,Larimer,49.372,12524811
Brands East Metropolitan District No. 4,66577/1,Larimer,32.222,6795128
Brands Metropolitan District No. 1,66557/1,Larimer,39.153,40942
Brands Metropolitan District No. 2,66558/1,Larimer,41.888,4796814
Brands Metropolitan District No. 3,66559/1,Larimer,41.888,311175
Brands Metropolitan District No. 4,66560/1,Larimer,39.002,40446
Brands West Metropolitan District No. 1,66994/1,Larimer,39,10
Brands West Metropolitan District No. 2,66995/1,Larimer,41.888,5253777
Brands West Metropolitan District No. 3,66996/1,Larimer,31.297,3257357
Brands West Metropolitan District No. 4,66997/1,Larimer,21.481,5872759
Branson,36002/1,Las Animas,4.807,541209
Branson Reorganized 82 School District,36904/1,Las Animas,31.616,18613460
Branson-Trinchera Conservation District,36003/1,Las Animas,0.5,30019979
Bravada Neher Metropolitan District No. 1,67011/1,Arapahoe,0,2389
Bravada Neher Metropolitan District No. 2,67012/1,Arapahoe,0,2296
Bravada Neher Metropolitan District No. 3,67013/1,Arapahoe,0,2296
Bravada Neher Metropolitan District No. 4,67014/1,Arapahoe,0,2296
Bravada Neher Metropolitan District No. 5,67015/1,Arapahoe,0,2296
Breckenridge,59004/1,Summit,5.07,1053674430
Breckenridge Mountain Metro. District,65155/1,Summit,15,94319800
"Breckenridge Mountain Metropolitan District, Subdistrict A",67610/1,Summit,28,8462760
Brennan Metropolitan District,66685/1,Boulder,32.5,5531053
Briargate Center Business Improvement District,65066/1,El Paso,39,9740810
Briargate Special Improvement Maintenance District,21059/1,El Paso,0,301212530
Brickyard Metropolitan District No. 1,68161/1,Douglas,10,94500
Brickyard Metropolitan District No. 2,68162/1,Douglas,10,30580
Brickyard Metropolitan District No. 3,68163/1,Douglas,10,19060
Bridle Creek Metropolitan District No. 1,65454/1,Weld,0,0
Bridle Creek Metropolitan District No. 1,67242/1,Weld,0,113503
Briggsdale Fire Protection District,62087/1,Weld,4.002,513881780
Briggsdale RE-10 School District,64953/1,Morgan,16.616,23970
Briggsdale RE-10 School District,64953/1,Weld,16.616,482698660
Brighton,64029/1,Adams,6.65,880424838
Brighton,64029/1,Weld,6.65,67166531
Brighton 27J School District,64901/1,Adams,56.29,3234964170
Brighton 27J School District,64901/1,Broomfield,56.29,19610
Brighton 27J School District,64901/1,Weld,56.29,104132963
Brighton Crossing Metropolitan District No. 4,01041/1,Adams,56.304,43316370
Brighton Crossing Metropolitan District No. 5,67005/1,Adams,61.245,10095500
Brighton Crossing Metropolitan District No. 6,67006/1,Adams,67.323,11221770
Brighton Crossing Metropolitan District No. 7,67007/1,Adams,67.28,14980710
Brighton Crossing Metropolitan District No. 8,67008/1,Adams,64.437,136780
Brighton Ridge Metropolitan District No. 1,67513/1,Adams,0,1381840
Brighton Ridge Metropolitan District No. 2,67514/1,Adams,0,1048990
Brighton Urban Renewal Authority,01104/1,Adams,0,0
Brighton Urban Renewal Authority,01104/1,Weld,0,0
Brighton Urban Renewal Authority - North Brighton Employment Area 2 Urban Renewal Plan,01104/8,Weld,0,0
Brighton Urban Renewal Authority - Plan Area 1,01104/2,Adams,0,0
Brighton Urban Renewal Authority - South Brighton Urban Renewal Plan,01104/9,Adams,0,0
Brighton Urban Renewal Authority - Urban Renewal Plan,01104/6,Weld,0,317501
Brighton Urban Renewal Authority 2,01104/7,Weld,0,1562440
Bristol Metropolitan District,66760/1,Arapahoe,78.38,2600165
Bristol Water & Sanitation District,50002/1,Prowers,16.09,476417
Bristol-Granada Cemetery District,50003/1,Prowers,1.562,17986513
Britanie Ridge Metropolitan District,65474/1,Elbert,10,5713100
Brittany Place Metropolitan District,01052/1,Adams,0,433617
Broadlands Metropolitan District No. 2,01070/1,Broomfield,8.63,112781960
Broadmoor Fire Protection District,21003/1,El Paso,4.5,173992000
Broadway Denver General Improvement District,68206/1,Denver,0,0
Broadway Park North Metropolitan District No. 1,66283/1,Denver,0,30
Broadway Park North Metropolitan District No. 2,66284/1,Denver,64.74,28514940
Broadway Park North Metropolitan District No. 2 - Debt,66284/2,Denver,47.084,28514940
Broadway Park North Metropolitan District No. 3,66285/1,Denver,16.11,4792550
Broadway Park South Metropolitan District No. 1,66157/1,Denver,0,30
Broadway Park South Metropolitan District No. 2,66912/1,Denver,0,30
Broadway Park South Metropolitan District No. 3,66913/1,Denver,0,30
Broadway Park South Metropolitan District No. 4,66914/1,Denver,0,30
Broadway Station Metro. District #1,65573/1,Denver,0,65480
Broadway Station Metro. District #2,65574/1,Denver,69.813,3041635
Broadway Station Metro. District #3,65575/1,Denver,69.813,4779705
Bromley Park Metropolitan District No. 2,01039/1,Adams,54.5,56360500
Bromley Park Metropolitan District No. 2,01039/1,Weld,54.5,19448810
Bromley Park Metropolitan District No. 3,01040/1,Adams,60,40269450
Bromley Park Metropolitan District No. 5,01090/1,Adams,40,12644360
Bromley Park Metropolitan District No. 6,01091/1,Adams,35,119445260
Bromley Park Metropolitan District No. 6,01091/1,Weld,35,9680
Brook Forest Water District,30012/1,Jefferson,18.641,16344112
Brooklyn Metropolitan District,65014/1,Lake,5,1809177
Brookside,22001/1,Fremont,9.179,3471254
Broomfield City,64030/2,Broomfield,28.968,1987394625
Broomfield County,64030/1,Broomfield,0,0
Broomfield Town Square Business Improvement District,68176/1,Broomfield,0,0
Broomfield Town Square Metropolitan District No. 1,67429/1,Broomfield,0,0
Broomfield Town Square Metropolitan District No. 2,67430/1,Broomfield,0,9850
Broomfield Urban Renewal Authority,64184/1,Broomfield,0,59713792
Broomfield Urban Renewal Authority - Adams (W 120th) Plan Area,64184/2,Broomfield,0,7463883
Broomfield Urban Renewal Authority - Baseline Plan Area,64184/14,Boulder,0,0
Broomfield Urban Renewal Authority - Baseline Plan Area,64184/14,Broomfield,0,3464729
Broomfield Urban Renewal Authority - Boulder (W 120th) Plan Area,64184/3,Broomfield,0,1461110
Broomfield Urban Renewal Authority - Broomfield Plaza Civic Center Plan Area,64184/12,Broomfield,0,5346526
Broomfield Urban Renewal Authority - Broomfield Town Square Plan Area,64184/15,Boulder,0,0
Broomfield Urban Renewal Authority - Broomfield Town Square Plan Area,64184/15,Broomfield,0,0
Broomfield Urban Renewal Authority - Hoyt Street Plan Area,64184/13,Boulder,0,0
Broomfield Urban Renewal Authority - Hoyt Street Plan Area,64184/13,Broomfield,0,3092612
Broomfield Urban Renewal Authority - Hunter Douglas Plan Area,64184/4,Broomfield,0,0
Broomfield Urban Renewal Authority - Interlocken (96th) Plan Area,64184/5,Broomfield,0,0
Broomfield Urban Renewal Authority - Jeffco Plan Area,64184/6,Broomfield,0,0
Broomfield Urban Renewal Authority - Lowell Gateway Plan Area,64184/10,Broomfield,0,4551008
Broomfield Urban Renewal Authority - North Park Plan Area,64184/9,Broomfield,0,122051
Broomfield Urban Renewal Authority - North Park West Plan Area,64184/7,Broomfield,0,1007995
Broomfield Urban Renewal Authority - US 36 West Corridor Plan Area,64184/11,Broomfield,0,130802026
Broomfield Urban Renewal Authority - Wadsworth Interchange Plan Area,64184/8,Broomfield,0,6337803
Broomfield Village Metropolitan District No. 2,07068/1,Broomfield,54.8,10879918
Broomfield Village Metropolitan District No. 2 - Exclusion,07068/2,Boulder,0,0
Broomfield Village Metropolitan District No. 2 - Exclusion,07068/2,Broomfield,37,1423511
Broomfield Village Metropolitan District No. 2 - Lot 9 Exclusion,07068/3,Boulder,0,0
Broomfield Village Metropolitan District No. 2 - Lot 9 Exclusion,07068/3,Broomfield,37,360235
Brownsville Water & Sanitation District,07007/1,Boulder,0.37,13950279
Brush,44001/1,Morgan,15.66,68284160
Brush Creek Metropolitan District,49025/1,Pitkin,12.226,40365530
Brush RE-2(J) School District,64938/1,Morgan,48.354,270361380
Brush RE-2(J) School District,64938/1,Washington,48.354,2285173
Brush Rural Fire Protection District,64031/1,Morgan,3.513,164598530
Brush Rural Fire Protection District,64031/1,Washington,3.513,935912
Buckhorn Heights Metropolitan District,65225/1,Montrose,0,0
Buckhorn Valley Metropolitan District No. 1,19069/1,Eagle,0,55620
Buckhorn Valley Metropolitan District No. 2,19070/1,Eagle,56.203,24868780
Buckley Crossing Metropolitan District,65245/1,Adams,10,5140
